npi,name,city,state,zip,phone,outcome,google_address,new_lat,new_lon
1194193045,"PRECISION SPINE, PLLC",ALEXANDER,AR,72002,615-389-7852,ADDRESS RESOLVES OUT OF STATE — likely wrong federal record; strong outreach candidate,"10777 Nall Ave #120, Overland Park, KS 66211, USA",38.9331092,-94.6481855
1669461174,ALPINE ANESTHESIA ASSOCIATES,FRISCO,CO,80443,970-668-9200,ADDRESS RESOLVES OUT OF STATE — likely wrong federal record; strong outreach candidate,"3831 Piper St, Anchorage, AK 99508, USA",61.185769699999994,-149.8214759
1134875602,REFLECT HEALTH LLC,LITTLETON,CO,80122,303-584-5844,re-matched — coordinates restored,"7720 South Broadway Arapahoe Medical Plaza I, #310, Littleton, CO 80122, USA",39.5772471,-104.98698689999999
1619020385,"PROFESSIONAL ANESTHESIA SERVICES, LLC",DOVER,DE,19904,301-734-7105,re-matched — coordinates restored,"424 Savannah Rd, Lewes, DE 19958, USA",38.771951099999995,-75.1430456
1861697468,"MARK SHOPTAUGH, PLLC",HIGHLANDS,NC,28741,828-526-1200,re-matched — coordinates restored,"190 Hospital Dr, Highlands, NC 28741, USA",35.0864781,-83.18588079999999
1750936084,"DANIEL BURDICK, MD. LLC",HONOLULU,HI,96817,808-531-3511,re-matched — coordinates restored,"226 N Kuakini St, Honolulu, HI 96817, USA",21.321607099999998,-157.8542623
1932684982,NORTH SHORE PAIN MANAGEMENT LLC,MORTON GROVE,IL,60053,847-213-5444,re-matched — coordinates restored,"9000 Waukegan Rd Suite 200, Morton Grove, IL 60053, USA",42.0446592,-87.800478
1144013327,"GASSAN CHAIBAN, MD, PLLC",HOUSTON,TX,77008,337-602-8686,re-matched — coordinates restored,"4747 Bellaire Blvd #101, Bellaire, TX 77401, USA",29.705395499999995,-95.46177809999999
1851486781,CAROLINA ANESTHESIOLOGY ASSOCIATES PA,COLUMBIA,SC,29210,803-708-8126,re-matched — coordinates restored,"2611 Forest Dr #200, Columbia, SC 29204, USA",34.0150043,-81.00631849999999
1033654595,TRI-STATE PHYSICIANS GROUP PC,DETROIT,MI,48202,313-986-1011,ADDRESS RESOLVES OUT OF STATE — likely wrong federal record; strong outreach candidate,"3900 Dakota Ave Ste 6, South Sioux City, NE 68776, USA",42.4509848,-96.41301849999999
1194562165,CATHOLIC HEALTH INITIATIVES COLORADO,EAGLE MOUNTAIN,UT,84005,385-345-3555,re-matched — coordinates restored,"3943 E Pony Express Pkwy #120, Eagle Mountain, UT 84005, USA",40.3626272,-111.96846749999999
1144516998,DR. ANITA GUPTA,SAN DIEGO,CA,92122,844-213-7246,ADDRESS RESOLVES OUT OF STATE — likely wrong federal record; strong outreach candidate,"111 Clock Tower Commons Dr, Brewster, NY 10509, USA",41.4200343,-73.57364749999999
1538619580,"PAIN CONTROL ASSOCIATES, PC",TURNERSVILLE,NJ,08012,609-890-4080,re-matched — coordinates restored,"151 Fries Mill Rd Unit 506, Turnersville, NJ 08012, USA",39.7414191,-75.0479156
1497052716,ANESTHESIOLOGY PAIN ASSOCIATES PLLC,GREAT NECK,NY,11021,516-348-5344,ADDRESS RESOLVES OUT OF STATE — likely wrong federal record; strong outreach candidate,"7920 Kirkland Ct, Portage, MI 49024, USA",42.20266,-85.6197555
1447050869,FLAGLER MEDICAL PC,NEW YORK,NY,10013,954-599-9023,re-matched — coordinates restored,"56 Leonard St, New York, NY 10013, USA",40.7176602,-74.0061845
1407562028,"JOSEPH HADI MD, PLLC",BROOKLYN,NY,11230,646-330-5455,re-matched — coordinates restored,"1893 Eastern Pkwy, Brooklyn, NY 11233, USA",40.6770302,-73.90826899999999
1720682321,METROPOLITAN ANESTHESIA PC,BROOKLYN,NY,11235,917-365-0866,re-matched — coordinates restored,"506 6th St, Brooklyn, NY 11215, USA",40.6678383,-73.9791486
1689775280,ORTHOPAEDIC ASSOCIATES LLP,SYRACUSE,NY,13210,315-426-0190,re-matched — coordinates restored,"5719 Widewaters Pkwy, Syracuse, NY 13214, USA",43.0437315,-76.064785
1467836395,SHALOM V'SHALVA MEDICAL PC,BROOKLYN,NY,11219,718-807-8777,ADDRESS RESOLVES OUT OF STATE — likely wrong federal record; strong outreach candidate,"C. Pablo Neruda 17, Santo Domingo, Dominican Republic",18.4727525,-69.938007
1841442258,"PAIN CARE SPECIALISTS, LLC",GROVE CITY,OH,43123,614-777-5700,re-matched — coordinates restored,"6024 Hoover Rd A, Grove City, OH 43123, USA",39.840117,-83.07285999999999
1205201456,COMPLETE FAMILY CARE LLC,STOCKBRIDGE,GA,30281,404-918-8118,ADDRESS RESOLVES OUT OF STATE — likely wrong federal record; strong outreach candidate,"1004 Progress Dr #200, Lansing, KS 66043, USA",39.265530999999996,-94.9152162
1295342046,INTEGRATIVE HEALTHCARE SOLUTIONS LLC,TULSA,OK,74104,567-208-0581,re-matched — coordinates restored,"3105 E Skelly Dr, Tulsa, OK 74105, USA",36.0918022,-95.94318799999999
1265062202,"RESURGENT HEALTH, LLC",GRESHAM,OR,97080,503-484-6128,re-matched — coordinates restored,"2850 SE Powell Valley Rd Unit 100, Gresham, OR 97080, USA",45.492731899999995,-122.4033862
1295751915,ANESTHESIA ASSOCIATES INC.,WILKES BARRE,PA,18764,570-829-8111,re-matched — coordinates restored,"575 N River St, Wilkes-Barre, PA 18764, USA",41.258615299999995,-75.8672161
1023738598,GLOBAL PAIN CENTER INC,GLADWYNE,PA,19035,610-453-0362,re-matched — coordinates restored,"135 S Bryn Mawr Ave Ste 100, Bryn Mawr, PA 19010, USA",40.018371699999996,-75.3199748
1104898329,"LANCASTER ANESTHESIA & ASSOCIATES, PA",LANCASTER,SC,29720,803-286-4287,ADDRESS RESOLVES OUT OF STATE — likely wrong federal record; strong outreach candidate,"133 E Frederick St, Lancaster, PA 17602, USA",40.048325,-76.3040819
1730355298,THREE RIVERS PAIN MANAGEMENT LLC,WEST COLUMBIA,SC,29169,803-454-1661,re-matched — coordinates restored,"2611 Forest Dr, Columbia, SC 29204, USA",34.0147644,-81.006458
1104854124,ANESTHESIA SERVICES ASSOCIATES PLLC,HENDERSONVILLE,TN,37075,615-824-3737,re-matched — coordinates restored,"300 Steam Plant Rd #240, Gallatin, TN 37066, USA",36.389814,-86.43389499999999
1447121074,BLOOM BEAUTY & WELLNESS LLC,TACOMA,WA,98405,206-310-8686,re-matched — coordinates restored,"918 N I St, Tacoma, WA 98403, USA",47.2655648,-122.46256480000001
1114249000,MEDS LLC,REDWOOD CITY,CA,94063,650-306-8928,ADDRESS RESOLVES OUT OF STATE — likely wrong federal record; strong outreach candidate,"837 S Riverside Dr, Elmhurst, IL 60126, USA",41.873463799999996,-87.95674149999999
1609742212,ERIE SPINE & PAIN CENTER PC,GREEN BAY,WI,54313,814-454-4599,re-matched — coordinates restored,"2411 Holmgren Wy, Green Bay, WI 54313, USA",44.4837549,-88.0612742
1700747128,"CAPITAL INJURY GROUP, LLC",TALLAHASSEE,FL,32308,850-766-7018,re-matched — coordinates restored,"3375 Capital Cir NE Bldg. C200, Tallahassee, FL 32308, USA",30.499221,-84.2467274
1245191923,FUEL MEDICAL PLLC,TAMPA,FL,33609,813-572-3835,re-matched — coordinates restored,"2835 W De Leon St, Tampa, FL 33609, USA",27.9395256,-82.4908987
1487941043,PREMIER PAIN & WELLNESS CENTER PLLC,HOUSTON,TX,77077,409-939-9940,ADDRESS RESOLVES OUT OF STATE — likely wrong federal record; strong outreach candidate,"9242 W Union Hills Dr Bldg d ste 100, Peoria, AZ 85382, USA",33.653643900000006,-112.25798479999999
1902502156,"M PARTNERS, LLC",DELRAY BEACH,FL,33484,561-335-1130,re-matched — coordinates restored,"5341 W Atlantic Ave #306, Delray Beach, FL 33484, USA",26.459163399999998,-80.1283433
1407135650,MSK MEDICINE PLLC,BROOKLYN,NY,11223,718-998-9890,re-matched — coordinates restored,"813 Quentin Rd, Brooklyn, NY 11223, USA",40.6078294,-73.9641776
